brand,root_id,first_inbound_tweet_id,customer_text,n_tweets,sampling_bucket,audit_pool_rank
AmazonHelp,987995,987995,Today 14th.Product ordered on 23rd Sept neither quality delivered nor refund.No refund by 2morow will lodge policeComplaint&amp;approach C.court https://t.co/pCzM5cLt8Z,5,deep_multi_turn,35
AmazonHelp,2347771,2347771,"Gente, a @117086  não está pra brincadeira msm hein! Comprei no dia 11 e já chegou! 👏👏👏👏 https://t.co/ct9meGXTtF",5,deep_multi_turn,36
AmazonHelp,158786,158786,I tried to order a game to be delivered next day with Prime @ 5:10PM Friday - I have to wait until Monday?!?! @115821 @115830 @AmazonHelp https://t.co/XKqiOHvz6c,6,deep_multi_turn,37
AmazonHelp,2320721,2320721,@115821 @AmazonHelp how do I sign up for the once yearly amazon? I can only find the monthly payments right now. And just a 30 day trial. I just want to buy the yearly one.,7,deep_multi_turn,38
AmazonHelp,1309595,1309595,Got this unsmart fone for One plus5! Is this how u treat ur valued customers @115821 @115850 ? Not replaced since 1 week. Poor experience. https://t.co/ASRUS1d2LE,15,deep_multi_turn,39
AmazonHelp,1067672,1067672,"Hung up on by @115830 Customer Services. Those Prime fees at work, there... 😡",6,deep_multi_turn,40
AmazonHelp,1311282,1311282,"@115830 @AmazonHelp I tweeted you, posted the transcript of my conversation with your very unhelpful rep, emailed Jeff. What does it take?",6,deep_multi_turn,41
AmazonHelp,198116,198116,@AmazonHelp why can I not apply this balance to my outstanding amount due all of the sudden? https://t.co/RqDdn4mTAs,11,deep_multi_turn,42
AmazonHelp,2668736,2668736,@115830 can you tell me what neighbour this has been delivered to? I’ve tried 36 and 37 and neither of them have it... https://t.co/OsPiDU6uQX,5,deep_multi_turn,43
AmazonHelp,2408725,2408725,"Bon @132988 et @120533, mon colis il s'est perdu dans le néant ou quoi ? Il devait arriver hier et toujours rien aujourd'hui :/",5,deep_multi_turn,44
AmazonHelp,1749460,1749460,"Un anniversaire sans cadeau grâce à @115821.fr
Il devait arrivée hier et a finalement été livré aujourd'hui en notre absence à un ""résident""",11,deep_multi_turn,45
AmazonHelp,781189,781189,"@115850 what is the status. 

I don't get any call.

Are you delevring items or not?

Or just passing the time.",7,deep_multi_turn,46
AmazonHelp,1043182,1043182,Hey @AmazonHelp how do I report that I only received 1 item I ordered 2 of? Marketplace vendor isn't helping and you/they have my money...,7,deep_multi_turn,47
AmazonHelp,2318811,2318811,".@115821 &amp; @142696 - your signed ""On Tour"" package arrived yesterday &amp; the envelope was empty. What kind of BS is this? My son had been waiting for months. What a total scam. #Gamers - beware.",5,deep_multi_turn,48
AmazonHelp,2433638,2433638,When you pay extra for a delivery by 1pm with @115830 and it's still not here 24 hours later,5,deep_multi_turn,49
AmazonHelp,2671379,2671379,Plusieurs jours que je n’arrive pas à consulter mon compte ni à commander sur l’application @120533,8,deep_multi_turn,50
AmazonHelp,2773084,2773084,Pls say @47383 is part of this deal !!!! @115850 please please please tell us some.good news !! https://t.co/EJIWexMK58,3,three_to_four_tweet,18
AmazonHelp,784737,784737,"Dear @115821:

Is it Waterproof, or is it Water resistant? Those 2 words aren’t the same.",3,three_to_four_tweet,19
AmazonHelp,276136,276136,Gutted as @152044 #Butterfly #PictureDisc order now is delayed on @AmazonHelp @115830 😪 https://t.co/aK3in55q5K,4,three_to_four_tweet,20
