"query_root_id","query_text","query_intent","rank","doc_root_id","doc_text","doc_response","doc_response_type","doc_intent","score","grade","notes"
"1690006","@GWRHelp hi, I'm waiting for a cheque to arrive from you. Could you let me know if it has been sent yet? I have a reference number.","refund_request","1","755688","The new @GWRHelp website is absolutely useless! Won't let me pay for a sleeper cabin without reserving a seat that it won't let me reserve?!","@300627 Can you please try clearing your cookies and cache or using a different browser and see if this makes a difference? Rach","informational","booking_issue","0.2123740397271314","0",""
"1690006","@GWRHelp hi, I'm waiting for a cheque to arrive from you. Could you let me know if it has been sent yet? I have a reference number.","refund_request","2","2306957","@GWRHelp hi, I'm on the delayed train to Plymouth plz could you pass on how amazing the lady working on this service is, going out of her","@669241 Thanks Ruby. We will make sure your kind words are passed on - Josh","informational","praise_or_chatter","0.144735950961844","0",""
"1690006","@GWRHelp hi, I'm waiting for a cheque to arrive from you. Could you let me know if it has been sent yet? I have a reference number.","refund_request","3","2961832","@GWRHelp have collected tickets for tomorrow from newton abbot to reading and it has only printed one ticket and 2 seat reservations plus receipt. Open ticket for 7.32 missing. Help!","@620297 Normally this needs to raised at the station at the time. Staff can then check the machine. Do you have a booking reference I can check please? Lewis","informational","seat_reservation","0.1231439456902552","1",""
"1690006","@GWRHelp hi, I'm waiting for a cheque to arrive from you. Could you let me know if it has been sent yet? I have a reference number.","refund_request","4","1678913","@GWRHelp: Have you released advance tickets for New Years Day yet, or are you not releasing any?","@287712 Hi. The timetable is very complicated but I'll make sure your feedback concerning this recorded for reporting. Lewis","informational","booking_issue","0.1187281848397096","0",""
"1690006","@GWRHelp hi, I'm waiting for a cheque to arrive from you. Could you let me know if it has been sent yet? I have a reference number.","refund_request","5","2812223","@GWRHelp YAY! 07:51 Train cancelled. And what I love is when you're waiting for the 07:51 from Burnham and a train goes speeding through!!!","@120655 Hi. Sorry for the cancellation. This was due to a train fault. We do always look at the possibility of arranging additional stops when this happens but it isn't always possible I'm afraid. Lewis","informational","service_disruption","0.1056860325629205","0",""
"2221735","@GWRHelp hi, any idea when adv tickets will come available for Sunday 10/12 PAD -EXD ? Ta","booking_issue","1","1678913","@GWRHelp: Have you released advance tickets for New Years Day yet, or are you not releasing any?","@287712 Hi. The timetable is very complicated but I'll make sure your feedback concerning this recorded for reporting. Lewis","informational","booking_issue","0.1482714298111765","1",""
"2221735","@GWRHelp hi, any idea when adv tickets will come available for Sunday 10/12 PAD -EXD ? Ta","booking_issue","2","1884635","@GWRHelp Hi, is the 0849 GCR to PAD running this morning?","@562328 I'm afraid it has been cancelled - Apologies. 0842 runs to Bristol Parkway, where you can board 0932 to Paddington arriving 1059. Phil.","resolution","timetable_info","0.1166898575916404","0",""
"2221735","@GWRHelp hi, any idea when adv tickets will come available for Sunday 10/12 PAD -EXD ? Ta","booking_issue","3","1121090","Hi @GWRHelp is it true your short of trains as you keep cancelling the 6:10 from swindon and turning into the 6:40 to Cheltenham?","@145459 Hi there. No this isn't true. This service was cancelled due to a broken down train earlier this morning. Rach","resolution","service_disruption","0.090626559947844","0",""
"2221735","@GWRHelp hi, any idea when adv tickets will come available for Sunday 10/12 PAD -EXD ? Ta","booking_issue","4","2812223","@GWRHelp YAY! 07:51 Train cancelled. And what I love is when you're waiting for the 07:51 from Burnham and a train goes speeding through!!!","@120655 Hi. Sorry for the cancellation. This was due to a train fault. We do always look at the possibility of arranging additional stops when this happens but it isn't always possible I'm afraid. Lewis","informational","service_disruption","0.076963156400204","0",""
"2221735","@GWRHelp hi, any idea when adv tickets will come available for Sunday 10/12 PAD -EXD ? Ta","booking_issue","5","1844212","@GWRHelp Have seats for Newport SW to Bristol TM on Dec 24th (return Dec 27th) been released yet? Website states 'no more seats available'.","@350768 Seat reservations will be released. Our reservations are updated every Friday, you can check back with us then. - Jordan","informational","booking_issue","0.0748201562606125","2",""
