"intent","root_id","customer_text","why_this_is_representative","_kind","_keep"
"delay_compensation","1450919","@GWRHelp If a train is delayed due to Signal failure(within control) and Object obstruct(out of control), Can I get a delay repay?","Asks explicitly whether a specific delay scenario qualifies for delay repay","prototypical","y"
"delay_compensation","1595944","@GWRHelp how late does my train need to be, before I can claim compensation","Asks the threshold for claiming delay compensation","prototypical","y"
"delay_compensation","2140879","@GWRHelp how can I claim compensation for delayed 20:00 London to Bristol temple meads train tonight? Bought the ticket at the station, train getting in now, 38 minutes late","Specific delayed service with an explicit compensation claim","boundary","y"
"delay_compensation","2228529","@GWRHelp it's is becoming very frustrating that the 1225 from Severn tunnel junction to Bristol temple meads keeps getting cancelled. Can I claim compensation?","Repeated cancellation prompting a compensation question","boundary","y"
"delay_compensation","2273899","@GWRHelp Hi, please advise on how I claim compensation for a delayed train without still having the ticket? The ticket was inserted into the barrier to exit the station. Thanks","Process question for claiming compensation after losing the ticket","prototypical","y"
"delay_compensation","1201609","@GWRHelp - hi there, I'm a bit confused as to which of the numbers on my ticket is my ticket number. I need to to follow up on delay repay.","Follow-up question about an in-progress delay repay claim","prototypical","y"
"delay_compensation","2672132","@GWRHelp just got in on delayed train &amp; missed my connection. Had to buy another ticket @ £51.20. You guys are paying for that right?","Delay led to a missed connection and out-of-pocket cost","prototypical","y"
"delay_compensation","1165835","@GWRHelp Not impressed that 19.25 from St Austell to Penmere missed connection at Truro. My daughter is stuck in Truro for 75 minutes wait.","Reports a missed connection caused by a delay","boundary","y"
"delay_compensation","1970379","Can I get compensation for this @GWRHelp ? The was a queue of people unable to board your short formed train. I couldn't get on the service https://t.co/M9267nUrhQ","Direct compensation question triggered by a service failure","short","y"
"delay_compensation","2574689","Once again the frustration is that, as an annual season ticket holder I can get no compensation for these delays @GWRHelp Home again very late again this week due to drivers not being available https://t.co/0W47PQkF7b","Frustration about compensation eligibility for a season ticket holder","short","y"
"refund_request","591575","@GWRHelp How do i go about getting a refund for a today's delays? Seeing as i didn't travel onboard your trains.","Direct refund ask following a journey not taken","prototypical","y"
"refund_request","604221","@GWRHelp we've been waiting at Paddington for two hours - can I ask if we can get a ticket refund?","Direct ticket refund request while stranded","prototypical","y"
"refund_request","863295","@GWRHelp My connecting train to newport was late therefore making me miss my train to taunton :) Refund pls","Delay caused missed connection and the ask is a refund","prototypical","y"
"refund_request","1011749","@GWRHelp why did the 19:05 from bristol to london get cancelled? can i get my money back?","Cancellation prompting a refund request","prototypical","y"
"refund_request","1085021","@GWRHelp you canceled the 10:42 Melksham to Bath train can I have my money back please","Cancellation with explicit money-back ask","prototypical","y"
"refund_request","784421","@GWRHelp Hi, With the engineering works this weekend I won't be able to use my advance tickets for London to Bath. Can I get full refund? How, and what is the quickest/easiest way? Posting forms seems a bit old school :(","Refund request on unused advance tickets due to disruption","prototypical","y"
"refund_request","974363","@GWRHelp After months waiting for a refund cheque, just had an email to say their printer has broken &amp; it'll be another 2 weeks #badservice","Follow-up on a delayed refund","prototypical","y"
"refund_request","820080","@GWRHelp I have been waiting for a refund since May, with numerous excuses been given. Will I receive this before Christmas?","Chasing a long-overdue refund","boundary","y"
"refund_request","891826","@GWRHelp I have a Thames branches day ranger for tomorrow, but the emergency works means I can't do what I had planned Can I get refund?","Refund for a ticket made unusable by works","boundary","y"
"refund_request","120617","@GWRHelp Can I claim for a refund on a super off peak ticket if I was delayed over an hour?","Refund eligibility question tied to a delay","boundary","y"
"refund_request","1179562","@GWRHelp can i get a refund on my ticket for saturday","Short direct refund question","short","y"
"refund_request","915204","@GWRHelp 2 coaches only for Portsmouth loads of people standing...I want a refund","Short refund demand after poor service","short","y"
"refund_request","1403761","@GWRHelp reserved front facing return, got backwards, taps not working so soapy hands no water, seat reservations not in place. Refund plz!!","Short emotive refund demand","short","y"
"booking_issue","250889","@GWRHelp Trying to book tickets on your website but the menus in the booking form aren't working so can't select dates or destination.","Booking form broken on the website","prototypical","y"
