"root_id","customer_text","suggested_intent","suggestion_confidence","true_intent","confidence","rationale"
"1751300","@GWRHelp @nationalrailenq @132078  Who is responsible for maintaining street lighting at pedestrian crossing Hunts Ground entrance to BPW?","other","0.0","other","low","weak TF-IDF match; falls outside defined intents"
"1400988","@441906 @58398 that's how we want to see us play , awesome second half team performance , happy trip back to Cornwall now on @GWRHelp","other","0.041","other","low","weak TF-IDF match; falls outside defined intents"
"2951292","@GWRHelp don't tell me ""more breakdowns than usual"" ah well I get a chance to stand in the cold for 1/2 hour as I couldn't get on. https://t.co/80b52Tf0ck","other","0.042","other","low","weak TF-IDF match; falls outside defined intents"
"2423181","Hi @GWRHelp, are standard class passengers not able to even walk through First Class to get to the right carriage anymore?","other","0.045","other","low","weak TF-IDF match; falls outside defined intents"
"2617383","Oh the rage when someone is having a phone conversation in the quiet carriage! I don’t want to hear your business conversation you imbecile!!! @GWRHelp is it acceptable to throw hummus? 😉","other","0.046","other","low","weak TF-IDF match; falls outside defined intents"
"59200","#really https://t.co/ICrWwBRkY6","other","0.048","other","low","weak TF-IDF match; falls outside defined intents"
"1817604","@GWRHelp Morning! Have you a page listing any problems caused by #Ophelia? D'you expect disruption on the SW main line, as forecasts say? Tx","other","0.048","other","low","weak TF-IDF match; falls outside defined intents"
"1711240","@GWRHelp 5:30pm on a Friday Reading to Gatwick. 2 coaches....really? https://t.co/w2O4jSuDTL","other","0.049","other","low","weak TF-IDF match; falls outside defined intents"
"1003234","@GWRHelp is the 18:21 WMN to CDF running?","other","0.049","other","low","weak TF-IDF match; falls outside defined intents"
"493193","Shocking cattle carrier of two coaches rammed to the rafters all the way from Exeter to Paignton (that’s an hour!) on a Friday evening to the sth west coast! Are you for real @GWRHelp ?☹️ @145773 @128411","other","0.05","other","low","weak TF-IDF match; falls outside defined intents"
"2386768","@GWRHelp Do you have a phone number or email address for your marketing department we can use?","other","0.053","other","low","weak TF-IDF match; falls outside defined intents"
"810043","standard response @gwrhelp &amp; it’s not your fault (ie the cust serv person reading this) but pls understand we’re asking a specific question https://t.co/xjdYmMnLuF","other","0.053","other","low","weak TF-IDF match; falls outside defined intents"
"2656045","It's almost as if @tfl AND @GWRHelp hate me and teamed up through a deep rooted disdain for my existence in an attempt to ruin my day...","other","0.055","other","low","weak TF-IDF match; falls outside defined intents"
"471478","@GWRHelp please advise how to stop text alerts?","other","0.056","other","low","weak TF-IDF match; falls outside defined intents"
"595947","What If it is not dated for today but an open return? @GWRHelp https://t.co/iSmWwT0yg0","other","0.057","other","low","weak TF-IDF match; falls outside defined intents"
"1127455","@GWRHelp I'm on 1500 Swindon to Oxford, arriving 1540. Have you arranged with @140497 so we can change on to 1541 to Marylebone?","other","0.061","other","low","weak TF-IDF match; falls outside defined intents"
"1251026","Here at Bristol for the @GWRHelp 0600 to Padd. The first public run of @154173 IEP Class 800s. https://t.co/QUyRE0tVs1","other","0.062","other","low","weak TF-IDF match; falls outside defined intents"
"984924","@GWRHelp I think the 0932 Fareham to bristol could of been a bit larger this morning #noroomatall #leavingpeoplebehind","other","0.064","other","low","weak TF-IDF match; falls outside defined intents"
"2571618","@GWRHelp 5 hours every week from Truro to Paddington.  5 hours every week back... how can I spice it up?","other","0.065","other","low","weak TF-IDF match; falls outside defined intents"
"1075851","Wanna be a magician? A good magician? Ask for more @GWRHelp. Getting trains to disappear just before arrival, no problem for them, regularly","other","0.065","other","low","weak TF-IDF match; falls outside defined intents"
"1315205","@GWRHelp every day 0802 from Maidenhead to Paddington leaves late &amp; arrives even later. What's excuse for this one? Will it ever improve?","other","0.065","other","low","weak TF-IDF match; falls outside defined intents"
