brand,root_id,first_inbound_tweet_id,customer_text,n_tweets,sampling_bucket,audit_pool_rank
AmazonHelp,987995,987995,Today 14th.Product ordered on 23rd Sept neither quality delivered nor refund.No refund by 2morow will lodge policeComplaint&amp;approach C.court https://t.co/pCzM5cLt8Z,5,deep_multi_turn,35
AmazonHelp,2347771,2347771,"Gente, a @117086  não está pra brincadeira msm hein! Comprei no dia 11 e já chegou! 👏👏👏👏 https://t.co/ct9meGXTtF",5,deep_multi_turn,36
AmazonHelp,1067672,1067672,"Hung up on by @115830 Customer Services. Those Prime fees at work, there... 😡",6,deep_multi_turn,40
AmazonHelp,2773084,2773084,Pls say @47383 is part of this deal !!!! @115850 please please please tell us some.good news !! https://t.co/EJIWexMK58,3,three_to_four_tweet,18
AmazonHelp,784737,784737,"Dear @115821:

Is it Waterproof, or is it Water resistant? Those 2 words aren’t the same.",3,three_to_four_tweet,19
AmazonHelp,2318618,2318618,@115830 @115821 is it time to rethink your packaging process and reduce your #cardboardfootprint? A touch unnecessary me thinks. https://t.co/4WQDJUVjRj,3,three_to_four_tweet,23
AmazonHelp,836944,836944,"@115850 I've ordered 2 phones last week, have received one and the other one was supposed to be delivered yesterday &amp; now I just got this. https://t.co/hSBVYNF1Ru",2,two_tweet,1
AmazonHelp,2318869,2318869,"Funny, frustrating experience with @115850 Based on false assurances, I am still waiting for a delivery.  Grrrr...",2,two_tweet,2
AmazonHelp,1881164,1881164,Will Apple Music be available in Amazon Echo India any time soon? @AmazonHelp,2,two_tweet,6
AmazonHelp,2887393,2887393,No compréis en @115821 mirar como entregan los paquetes estos desgraciados!! Te lo tiran por encima de la valla y solucionado. Transporte @137863 SINVERGUENZAS!! https://t.co/lOvCvIiVKF,2,two_tweet,16
AskPlayStation,1738368,1738368,@AskPlayStation why I can't use my NBA account to view in the NBA App on the PS4?,10,deep_multi_turn,35
AskPlayStation,299288,299288,"@AskPlayStation My ps4 controller keeps randomly turning off while I’m using the ps4 and it won’t reconnect unless I unplug the ps4, help!",5,deep_multi_turn,36
AskPlayStation,2208897,2208897,@AskPlayStation trying to sign up/in PS vue. Not working.,6,deep_multi_turn,40
AskPlayStation,669545,669545,"@AskPlayStation I Bought COD WW2, By Mistake And I Really Don't Like The Game ,Can I Get A Refund Please? My Psn Is
XxKripsu-12xX-.-",3,three_to_four_tweet,18
AskPlayStation,214692,214692,"@AskPlayStation I ""appreciate"" buying another PSTV &amp; being told I cannot activate the content &amp; when I try to deactivate a system on the web",3,three_to_four_tweet,19
AskPlayStation,1280984,1280984,@AskPlayStation my internet is fine but when i try to download somethingh it says 3mins then the download pauses and dsnt continue.,3,three_to_four_tweet,23
AskPlayStation,2751726,2751726,"@AskPlayStation PlayStation vue won’t stream cbs live, plays 1 second then reverts back about an hour and freezes",2,two_tweet,1
AskPlayStation,1695919,1695919,@AskPlayStation why can't other users on my ps4 play WWII on the downloaded game? Disk is same price &amp; all users can play that. @67692,2,two_tweet,2
AskPlayStation,1784021,1784021,@116216 hola ! Como hago válida la promoción activa de Fifa 18 + plus ??!!,2,two_tweet,6
AskPlayStation,1639958,1639958,@AskPlayStation I have a problem: I think a hacker stoled my account...Can someone help me?,2,two_tweet,16
