intent,description,include_when,exclude_when,probe_regex,evidence_n
delay_compensation,Customer seeks compensation under Delay Repay for a delayed journey.,References a specific delayed journey or missed connection and asks for compensation.,Delay mentioned only in passing; no compensation ask. Cancellations that led to a refund request.,\b(delay repay|claim(ing)? compensation|compensation for|missed (my |the )?connection|claim for (a )?delay)\b,13.0
refund_request,"Customer asks for a refund on an unused, partially-used, or cancelled ticket.",Explicit request for refund or money back on a ticket or booking.,Compensation for a delay (delay_compensation); goodwill gesture with no refund demand.,\b(refund|money back|reimburse)\b,39.0
booking_issue,"Problem with booking, changing, or paying for a ticket on the website or app.","Website / app errors, payment failures, seat selection during booking, confirmation not received.",Post-booking queries; cancellation of an already-issued ticket (refund_request).,\b(website|your app|online booking|payment fail|checkout|booking (form|system|site)|can'?t book|unable to book)\b,35.0
timetable_info,"Request for schedule, platform, route, or service information.","Asking whether a train runs, at what time, from which platform, or which route it takes.",Report of a disruption that has already occurred (service_disruption).,\b(what time|next train|which platform|timetable|when does|when will the|does the .* run)\b,34.0
service_disruption,"Report or query about a current disruption: cancellations, delays, strikes, engineering works.",Live disruption affecting travel today or imminently; cancels / strikes / engineering.,Retrospective claim for compensation (delay_compensation); generic timetable query (timetable_info).,\b(cancell?ed|strike|engineering works|no trains|suspended|line closed|no service)\b,145.0
seat_reservation,"Questions or problems about seat reservations, coach allocation, or seating preferences.","Seat reservation, coach letter, table seat, group seating, changing a seat.",General onboard comfort complaints (on_board_issue).,\b(reserve a seat|seat reservation|reserved seat|pre-?booked seat|table seat|coach [A-Z]\b)\b,37.0
lost_property,"Report of an item left on a train or at a station, or query about lost property.",Item left behind; lost-property process query.,Theft report (escalates separately); damage to property.,\b(left (my|a|the)|lost property|left behind|forgot (my|a|the)|handed in)\b,18.0
on_board_issue,Complaints or reports about conditions or staff behaviour on a train.,"Cleanliness, temperature, noise, luggage space, staff conduct, overcrowding on a specific service.",Delay-related complaints (delay_compensation); seat reservation problems (seat_reservation).,\b(toilet|overcrowd|dirty|filth|rude (staff|guard|member)|no seats|standing room only)\b,21.0
praise_or_chatter,"Non-actionable messages: praise, enthusiast posts, retweets, casual mentions.","Compliment, photo share, enthusiast observation, no request for action.","Any request, complaint, or question requiring a reply.",\b(thank you|thanks|cheers|love (it|your|the)|brilliant|well done|fantastic|amazing)\b,144.0
other,No candidate intent fits.,Message does not match any defined intent.,Any intent applies clearly.,,
ambiguous,Two or more intents fit equally well.,Multiple intents apply with equal confidence.,A single intent dominates.,,
