root_id,customer_text,intent,confidence,notes
49445,"@GWRHelp 17:18 from Reigate to Reading, what’s going on?",ambiguous,,
134669,@GWRHelp ticket machine out of service at Bradford on Avon. Again. #boa #commute,other,,
1359424,"@GWRHelp What is happening with your online booking system, I am trying to book a ticket to Bristol with no luck so far.",booking_issue,,
2577433,Long day now even longer as my @GWRHelp train home from Cardiff would appear to be half an hour late. #lateagain,delay_compensation,,
534555,"Still in Bristol in Gardiner Haskins (I should be in Salisbury): 3 carriages, overcrowding &amp; 2 missed trains means I've had to cancel my plans @GWRHelp @24277 @243822 @140346 @24278  This is not unforseen circumstances. https://t.co/97SQg20skc",on_board_issue,,
1822222,@GWRHelp utter chaos trying to get from Swansea to London today. 6+hrs and 5 changes. Rubbish. Now queuing for 30mins for next train! https://t.co/4glunr0uHZ,service_disruption,,
2140270,@GWRHelp morning how are you today plus can I get a follow back please,praise_or_chatter,,
1812901,"@gwrhelp do you still plan for new trains to be released this autumn following Kobe steel scandal, where Hitachi trains are affected?",timetable_info,,
1677966,@GWRHelp @510369 noticed that due to diesel mode limiting them to 100mph the new IEPs are averaging 10mins late into cardiff,delay_compensation,,
2537029,"@GWRHelp 7 carriages, full to the brim , heating on full blast...every single train from IVR for the last month.",on_board_issue,,
2762222,"Not even 7am and already @GWRHelp are ALREADY running 9 minutes late. I can’t wait to get onto time of only 3 hot, overcrowded carriages. @226761 @167364",on_board_issue,,
2931018,"Thanks @GWRHelp .. 2nd time that the 7o clock from Bristol TM to London is cancelled - this adds a 25 minute delay to my 12 minute journey, again! any rebate off my train  pass? @139601 @139586 @256090",refund_request,,
2228559,@GWRHelp thanks for fucking my life up as per usual x gonna miss both my connecting trains and end up having an 8hr journey x what a fucking joke x,delay_compensation,,
1395356,"@GWRHelp are the new trains running today, if so what times",timetable_info,,
2906437,"@GWRHelp  your on train customer service is as bad as your wifi, non existent.",on_board_issue,,
1787559,@GWRHelp 618 from Padd - Maid only 3 coaches?!? THERE IS NO AIR CON OR OPEN WINDOWS &amp; there’s the population of England on this train!,on_board_issue,,
2271883,@GWRHelp trying to get to Bournemouth from trowbridge. But im going to miss my connection at Southampton because of a late train. Shock. Any ideas what I'm supposed to do?,delay_compensation,,
675382,.@GWRHelp @154173 Only just realised your Class 800s don't have a buffet car/onboard shop. This is utterly ridiculous. How did you come to that decision?,other,,
2962422,"@GWRHelp Unbelievable: today, no leaves on-the-line, or, signal failure (08:02 from Reading), just a technical fault on-board. Why?",delay_compensation,,
2794887,@GWRHelp when the (delayed) 2127 from Slough to Maidenhead arrived at M why was the station announced as Taplow? (Good thing I got off)(1/2),on_board_issue,,
1842291,@GWRHelp More noise (incl. swearing) from Manager's Office than whole of the Quiet Carriage put together: 0655 St Erth to Padd. Poor show.,on_board_issue,,
1430883,@GWRHelp once we have bought adv tkts with reserved seating is there a chance we can change the seats so we can sit with our friends?,seat_reservation,,
1608997,@GWRHelp why is your train to Bristol so overbooked the aisles are literally filled with people,on_board_issue,,
1165835,@GWRHelp Not impressed that 19.25 from St Austell to Penmere missed connection at Truro. My daughter is stuck in Truro for 75 minutes wait.,delay_compensation,,
1677968,Left my meeting early but thanks to Great Western will still be late to collect my daughter @GWRHelp,delay_compensation,,
678629,@GWRHelp why did the 6.55 oxf &gt; pad leave charlbury 15mins late? I had checked the app 10 mins before leaving house and it was on time? (I’m getting on at oxf),delay_compensation,,
2423191,"@GWRHelp Just had the worst customer experience ever. 3 calls to your website support bods to try and book an e-ticket using your app &amp; website, only to be told on 3rd call that I can't buy the ticket for my journey even though I have no other way to buy a ticket @ HIG",booking_issue,,
