cluster,n,root_id,text
0,49,1910626,@GWRHelp I am so angry with your staff I could explode @232600
0,49,2273526,@GWRHelp how do I put in a complaint about station staff who are extremely unprofessional and unhelpful and then antagonise customers!!!!!!!
0,49,2796715,@GWRHelp credit where credit is due the staff at Reading station dealing with an unruly passenger over an excess Fair. No need to be rude to your staff. Your team dealt with him well
0,49,1914968,"@GWRHelp impolite member of staff on platform 4 at Gloucester station, do all of your staff receive customer service training or?"
0,49,2006801,Paddington @GWRHelp you have an abusive and possibly homophobic member of staff. Twice he verbally abused us in two days. https://t.co/ayssXAjjEq
1,413,2952887,@GWRHelp so what is causing delayes now?! #fullmoon ?
1,413,2634325,"@GWRHelp hi can you upgrade to first once on the train? And if yes, how?"
1,413,2546099,The changing scene at @120658 as @GWRHelp IEPs appear more and more https://t.co/V9SA7yTrEJ
1,413,555198,Thanks @GWRHelp https://t.co/BoWpn2DFDZ
1,413,2018079,@GWRHelp 😩 story of my life https://t.co/H2KNM3m7Zm
2,113,2420604,"@GWRHelp Hi, was expecting to get on the Plymouth at 1300, now delayed. What time do you expect departure?"
2,113,21685,@GWRHelp I actually seriously can not remember the last time I got a GWR train that was on time and wasn't delayed 😳😳😳😳
2,113,840659,@GWRHelp have put friend on train from MiM to GTW worried she won't arrive in time - how is service looking now? ( mim was delayed)
2,113,1164380,"@GWRHelp Screen at LGW says 'delayed' so I wait in waiting room. Train comes and goes on time. Guard says 'computer error, it wasn't delayed"
2,113,1034001,"@GWRHelp Coukd you confirm if the 07:25 Theale - Lon Pad is delayed as app says it’s cancelled at Frome, delayed and actually on time?"
3,97,876788,"Usual Friday night chaos, no seat reservations put out and people now fighting over seats! You lot are a complete shambles @GWRHelp"
3,97,1403761,"@GWRHelp reserved front facing return, got backwards, taps not working so soapy hands no water, seat reservations not in place. Refund plz!!"
3,97,2248978,@GWRHelp London2Cardif 14:37. Boarded train 20 min early for seat. Moved by person with reservation but no ticket on my seats. Standing now
3,97,1510232,@GWRHelp I reserved a facing seat and yet again travelling backwards!
3,97,2169329,"@GWRHelp Hello, I’m on the 10.30 from Evesham to London Paddington,  but there doesn’t seem to be seat reservations? I have a reservation on my ticket? The seats don’t even have numbers."
4,83,1333933,Enjoying the new @GWRHelp train save for the freezing temperatures and no ability to moderate same @431186
4,83,1566584,loving the new trains @GWRHelp - even smells new! 😍 https://t.co/A8Gfdj9AN1
4,83,985736,@GWRHelp their new brand motto must be profit over safety #dangerous
4,83,158468,Loving my GWR new train 50th birthday cake! @GWRHelp https://t.co/I1yV9xX7Cy
4,83,2452413,@GWRHelp loving your weekend upgrades and classy new seating hoping his rubs off your cousins new fleet @SW_Help https://t.co/he6XE0hMx7
5,73,2551301,Comfy mobile office @GWRHelp style....off to the big smoke #london #LAFD https://t.co/JzvgCVZZ4W
5,73,2025025,@GWRHelp not to mention yhe bumpy ride. London to Bridgend was never this bad before. Shocking!!!!!
5,73,1108111,#CowOnTheLine utter clusterfuck on @GWRHelp route to London. Recommend routing via Marylebone screwed due to broken train. Buses absent. 😡😤😡
5,73,2434555,@GWRHelp 1224 from Swansea to London.  No power to charge devices.  why not?
5,73,1788554,@GWRHelp what is happening between London Paddington and west drayton?
6,93,1937157,@GWRHelp is DMR on my return ticket some weird abbreviation for December that no one else uses?
6,93,608298,"@GWRHelp I'm trying to buy a return ticket to London via your website yet when I click on what station I want to collect my ticket from (ticket machine), Penzance isn't listed! Why? I would hate to have to use another online booking site."
6,93,449388,"appalled with @GWRHelp today.  Purchase a weekly ticket online, go to station and got computer says no so had to pay for an extra weekly ticket. #useless #poorcustomerservice #ripoff"
6,93,1201609,"@GWRHelp - hi there, I'm a bit confused as to which of the numbers on my ticket is my ticket number. I need to to follow up on delay repay."
6,93,134648,@GWRHelp can I use a cheque to part pay for my annual season ticket and top up the rest with card payment?
7,68,2423189,@GWRHelp how’s the refurbishment of the sleepers going?
7,68,1033466,@GWRHelp .... what's going on? Not a happy bunny. https://t.co/SR7X09PLWr
7,68,2561416,@GWRHelp How in 2017 is it possible that your drivers STILL do not have the common courtesy to tell us why we are going slowly or randomly stopped. #ffs stillrude
7,68,804753,What's going on at Paddington @GWRHelp ?
7,68,2672815,@GWRHelp What seems to be the problem with trains going from Ealing Broadway to Paddington?
8,77,2741349,@GWRHelp 1709 to Reading from Guildford- what’s the problem?
8,77,838498,"Tsk, man continuously vaping on this @GWRHelp train from Gatwick to Reading. Right in front of woman with baby."
8,77,2514800,@GWRHelp ‘fast’ trains from Reading super slow again. No announce on train. What’s up? Thks as always
8,77,865543,@GWRHelp tyvm to the driver who chucked off the drunken morons playing ‘bogies’ on the 9.48 Paddington to Reading.. much appreciated by all!
8,77,634084,@GWRHelp what’s happened to the 3.41 from Newton Abbot to Reading?
9,104,2097628,@GWRHelp so your snack trolley doesn’t take card 😂 great service 👎🏻
9,104,2169275,#VTECUpdate A rescue train is on the way to the broken down service at #Doncatser.  https://t.co/3gJNfk540p.
9,104,69063,God forbid @GWRHelp and @TfL manage to run an effective service for once in their lives 😒
9,104,2691325,@GWRHelp the conductor on your 15.22 service very rude and unsympathetic to this train being completely overcrowded. What a terrible service having to stand for 1h45m for £40. Not acceptable!
9,104,600664,@GWRHelp finally on a train 3.5hrs arriving at Ealing Broadway. Flummoxed by the lack of response to my earlier tweets asking info. Your twitter service normal replies.
10,83,1050136,@GWRHelp I'm guessing the 8.06am from Lawrence Hill to Avonmouth was cancelled then? #noinformation
10,83,1652309,@GWRHelp why is the 7.23 from trowbridge Cancelled?
10,83,2087808,@GWRHelp Hi can you tell me the next train from reigate to Guildford- app suggests the next one is cancelled.
10,83,19024,@GWRHelp not a happy #pregnant #commuter 0503 train from Carmarthen to Manchester Piccadilly cancelled but due to issue ongoing  for 2days!
10,83,2703323,@GWRHelp Your service is shocking. My brother was supposed to arrive in Derby at 21:30 but you delayed his train and cancelled his connecting train so he now wont be in Derby until 1:30AM! He now cannot check into his hotel or even get a meal. Then have to prove train cancelled.
11,93,931175,.@GWRHelp why are you selling beer to drunken football fans on route to bristol letting them on with litre glass beer bottles?
11,93,2717825,@GWRHelp I'm travelling from Bridgend 6:32 to Birmingham via Bristol. Are there problems in Bristol?
11,93,154936,@GWRHelp unbearable trip to Bristol on an 'off peak' 16:30 service from Paddington to Bristol Temple Meads. Not even enough room to stand in the isles and £77 for the privilege #daylightrobbery https://t.co/xV0f10eKaz
11,93,1218676,@GWRHelp Can you give us any information on the 'bridge strike' east of Bristol which has us all on stop? Any idea when we'll be moving?
11,93,892878,@GWRHelp Hi! do you have any idea if trains tomorrow from bristol temple meads to london will be affected by the wind?
12,61,1502574,@GWRHelp hi please can you confirm the booking horizon for advance tickets as National fail is showing November
12,61,1234042,@GWRHelp Advanced Tickets on sale for Fri 8th December but not for Sunday 11th December... when will these be released
12,61,1333212,@GWRHelp STILL no weekend advance tickets available for December. A more cynical person than me would suggest that you're not selling cheap
12,61,1923488,@GWRHelp Can you tell me when weekend advance tickets for December will be available to purchase???
12,61,2333878,@GWRHelp do you have any idea when advance tickets will be available for 2nd January please?
13,106,2574681,Guy in front is writing to the @GWRHelp account to complain the train is running late. We're late because a car struck a bridge. Send your complaint to Audi or Ford instead or whoever it was...
13,106,981491,@GWRHelp 1235 RDG-&gt;NQY is running late. Will 1634 connection at PAR wait?  Thx.
13,106,2719630,"Another Monday, another late train @GWRHelp"
13,106,2845273,"Late late late. Can you guess what business we’re travelling with today? Yup @GWRHelp. That makes 17 journeys of 24 taken have been late, overcrowded or both."
13,106,2762222,"Not even 7am and already @GWRHelp are ALREADY running 9 minutes late. I can’t wait to get onto time of only 3 hot, overcrowded carriages. @226761 @167364"
14,97,2701603,@GWRHelp no buffet on 1946 TAU to PAD? Any ideas why?
14,97,2359727,@GWRHelp will the 1930 to BTH leave PAD before the 2000?
14,97,2524626,@115793 @gwrhelp what is actually being done about chronic signalling issues to pad-wsb?
14,97,1346119,"@GWRHelp hi, do you have a sleeper train from Pad to PZ next Thurs please???"
14,97,1582980,@GWRHelp what’s happening to 0747 NBY-PAD? Stopped at RDG and no announcement.
