"approach","root_id","query_text","reply_text","judge_universal_score","human_universal_score","judge_auto_handle_safe","human_auto_handle_safe","notes"
"ungrounded","1267080","On board Coach K of @GWRHelp 800006. https://t.co/fYDADGzpKz","Thank you for letting us know you’re on Coach K of train 800006. How can we help you today?","14.0","12","False","n",""
"ungrounded","2275104","Appalling service from @GWRHelp - not telling us until after Filton that the already 45 minutes late train was skipping Temple Meads, instead forcing people to change at Bath, which takes longer. Train from Bath is running late too of course.","I’m sorry to hear about the inconvenience you experienced. I can’t provide details on the service change, but you can raise a complaint or get more information through the GWR Help app or by contacting our customer service team. Thank you for letting us know.","12.0","12","True","y",""
"ungrounded","2720778","@GWRHelp hi, is it too late to buy a ticket with a seat reservation for peak time out of Paddington tonight? Ticket office closed in bridgend yesterday and this morning so unable to do so. (I know I can buy a ticket, it’s the reservation bit I’m interested in!)","Thank you for your message. I’m sorry, but I’m not able to confirm seat‑reservation availability for your journey at this time. For the most accurate information, please contact the GWR Customer Service team via the GWR website or the GWR mobile app. They can advise you on whether a seat reservation can still be added to your ticket for the requested journey.","12.0","12","False","y",""
"ungrounded","1317126","@GWRHelp I’m on the (late) 8:24 from Bristol to Cardiff. Can you confirm it’s stopping at Filton? The onboard messages say it’s not.","I’m sorry, I don’t have that information. Please check the live train status on the GWR website or contact GWR Customer Service for confirmation.","14.0","14","True","y",""
"ungrounded","912814","@GWRHelp Big shout out to Kirk the onboard guard who helped us get our tickets on the 2202 North Camp to Gatwick. #superservice #topbloke","Thank you for your kind words! We're delighted Kirk could help make your journey smooth. Safe travels!","14.0","14","True","y",""
"grounded_no_escalate","1267080","On board Coach K of @GWRHelp 800006. https://t.co/fYDADGzpKz","Thank you for letting us know. Could you please tell us what assistance you need regarding Coach K of train 800006?","14.0","13","False","n",""
"grounded_no_escalate","2275104","Appalling service from @GWRHelp - not telling us until after Filton that the already 45 minutes late train was skipping Temple Meads, instead forcing people to change at Bath, which takes longer. Train from Bath is running late too of course.","We’re sorry to hear about the inconvenience you experienced. We understand how frustrating it can be when a train is delayed and changes routes unexpectedly. If you need further assistance or would like to discuss this further, please let us know.","10.0","10","True","y",""
"grounded_no_escalate","2720778","@GWRHelp hi, is it too late to buy a ticket with a seat reservation for peak time out of Paddington tonight? Ticket office closed in bridgend yesterday and this morning so unable to do so. (I know I can buy a ticket, it’s the reservation bit I’m interested in!)","Yes, you can still add a seat reservation to your ticket online or via the GWR app until the train departs. If you need help, you can contact GWR customer service for assistance.","11.0","12","False","n",""
"grounded_no_escalate","1317126","@GWRHelp I’m on the (late) 8:24 from Bristol to Cardiff. Can you confirm it’s stopping at Filton? The onboard messages say it’s not.","I’m sorry, I don’t have that information. Please check the GWR app or the timetable for the 8:24 service to confirm whether it stops at Filton.","14.0","14","True","y",""
"grounded_no_escalate","912814","@GWRHelp Big shout out to Kirk the onboard guard who helped us get our tickets on the 2202 North Camp to Gatwick. #superservice #topbloke","Thank you for your kind words! We'll make sure Kirk receives your praise.","14.0","14","True","y",""
"full_pipeline","59200","#really https://t.co/ICrWwBRkY6","I’m sorry you’re experiencing this disruption. The service was cancelled due to congestion, which can be frustrating. If you need further assistance, please let us know.","6.0","5","False","n",""
"full_pipeline","912814","@GWRHelp Big shout out to Kirk the onboard guard who helped us get our tickets on the 2202 North Camp to Gatwick. #superservice #topbloke","Thank you for your kind words! We'll make sure Kirk receives your praise.","14.0","14","True","y",""
"full_pipeline","1854871","Train from Newbury to Maidenhead absolutely rammed as usual. 3 carriages not enough ! ! @GWRHelp","Thank you for letting us know. Please speak to a member of staff on the train to see if they can open the windows or help with seating. We will also contact the station teams to see if additional carriages can be added.","14.0","13","True","y",""
"full_pipeline","1073073","@GWRHelp too busy patting themselves on the back over the new trains that don't work properly. GWR are a disgrace.","I’m sorry to hear the new trains aren’t working properly. We’ll report this to our Maintenance Team and you might try a different carriage if possible. Thank you for letting us know.","14.0","10","False","n",""
"full_pipeline","782121","@GWRHelp third time this week the seat reservations have been double booked between didcot &amp; Paddington Can you sort this out please.","Could you please provide your booking reference?  The usual way to resolve double‑booked seat reservations is to raise the issue at the station – staff can then check the machine and correct the booking.","12.0","12","False","n",""
"full_pipeline","1208104","Love a delayed train 🤔 @GWRHelp","","","","False","n","escalated"
"full_pipeline","2828411","This delayed trains business is not very fun #ColdConcreteOffice @GWRHelp https://t.co/rROhTjHvIK","","","","False","n","escalated"
"full_pipeline","2781238","@GWRHelp just out of interest, why is the 17:23 from Reading to Oxford invariably late?","","","","True","y","escalated"
"full_pipeline","2386768","@GWRHelp Do you have a phone number or email address for your marketing department we can use?","","","","True","y","escalated"
"full_pipeline","2514816","@GWRHelp some people would love to get to work on time, maybe just once this year will a train leave southall on time 🤷🏽‍♀️ https://t.co/NC3tcMZwXF","","","","False","n","escalated"
