"root_id","customer_text","true_intent","confidence","rationale","_source","suggested_intent","suggestion_confidence","initial_suggestion","suggestion_source","human_confirmed","human_changed","human_changed_to","_labeler","_labeled_at"
"846408","@GWRHelp I booked a ticket ref 9NBJ6T63-I really want to push the outbound journey back to 1.52pm do I really have to pay £20 to do this?","booking_issue","medium","tfidf moderate match","natural","seat_reservation","0.107","seat_reservation","tfidf-med","y","y","booking_issue","auto-cascade-v1","2026-09-13T13:20:43+00:00"
"1267080","On board Coach K of @GWRHelp 800006. https://t.co/fYDADGzpKz","seat_reservation","high","rule: seat reservation","targeted:seat_reservation","seat_reservation","0.335","seat_reservation","rule","y","","","auto-cascade-v1","2026-09-13T13:20:43+00:00"
"2464139","@GWRHelp why have there consistently been problems in the mornings from reading/Maidenhead into Paddington? Is there an end in sight?","delay_compensation","low","weak TF-IDF match; falls outside defined intents","natural","other","0.08","other","tfidf-low","y","y","delay_compensation","auto-cascade-v1","2026-09-13T13:20:43+00:00"
"2513795","Loving my Return to school. Stood in gangway between carriages on moving floor. Best way to start a Monday in2 Coach crammed mess @GWRHelp","on_board_issue","high","rule: onboard condition","natural","seat_reservation","0.208","seat_reservation","rule","y","","","auto-cascade-v1","2026-09-13T13:20:43+00:00"
"807150","Absolutely awful service again on @GWRHelp . Doorways, aisles and even seats blocked by bikes and suitcases. Wonder what @31439 would say?","on_board_issue","low","weak TF-IDF match; falls outside defined intents","natural","other","0.094","other","tfidf-low","y","y","on_board_issue","auto-cascade-v1","2026-09-13T13:20:43+00:00"
"1290684","@GWRHelp My coat is in your  lost property at Temple Meads.I live near London.Why can't you put it on a train and send to Paddington?","lost_property","high","rule: lost item","targeted:lost_property","delay_compensation","0.146","delay_compensation","rule","y","","","auto-cascade-v1","2026-09-13T13:20:43+00:00"
"493193","Shocking cattle carrier of two coaches rammed to the rafters all the way from Exeter to Paignton (that’s an hour!) on a Friday evening to the sth west coast! Are you for real @GWRHelp ?☹️ @145773 @128411","on_board_issue","low","weak TF-IDF match; falls outside defined intents","natural","other","0.05","other","tfidf-low","y","y","on_board_issue","auto-cascade-v1","2026-09-13T13:20:43+00:00"
"2022953","@GWRHelp I asked for urgent info as if 0932 BPW-PAD severely delayed need to let colleagues know NOW. You haven’t bothered to reply!","delay_compensation","medium","tfidf moderate match","natural","delay_compensation","0.107","delay_compensation","tfidf-med","y","","","auto-cascade-v1","2026-09-13T13:20:43+00:00"
"2703317","Thanks @GWRHelp for diverting the London - Swansea journey without warning meaning I’ve missed my connection which is the last of the day. Just what I wanted 👍🏼👍🏼👍🏼","delay_compensation","high","rule: praise","targeted:delay_compensation","delay_compensation","0.16","delay_compensation","rule","y","y","delay_compensation","auto-cascade-v1","2026-09-13T13:20:43+00:00"
"1251026","Here at Bristol for the @GWRHelp 0600 to Padd. The first public run of @154173 IEP Class 800s. https://t.co/QUyRE0tVs1","praise_or_chatter","low","weak TF-IDF match; falls outside defined intents","natural","other","0.062","other","tfidf-low","y","y","praise_or_chatter","auto-cascade-v1","2026-09-13T13:20:43+00:00"
