"root_id","customer_text","suggested_intent","suggestion_confidence","_source","true_intent","confidence","rationale","_labeler","_labeled_at","_method","initial_suggestion","suggestion_source","human_confirmed","human_changed","human_changed_to"
"22652","@GWRHelp why is everything delayed this morning again?","delay_compensation","0.146","natural","delay_compensation","medium","tfidf moderate match","auto-cascade-v1","2026-09-13T13:20:43+00:00","tfidf-med","delay_compensation","tfidf-med","y","",""
"41114","@GWRHelp turn the air con off!!! It’s November. Yes you’ve squished two services together but it’s icy!! 1513 BTH to PAD coach B #brrrrr","seat_reservation","0.255","targeted:seat_reservation","seat_reservation","high","rule: seat reservation","auto-cascade-v1","2026-09-13T13:20:43+00:00","rule","seat_reservation","rule","y","",""
"43978","@GWRHelp how come I only receive a £10.50 refund when the engineering works were unplanned last month that's hardly fair","refund_request","0.381","targeted:refund_request","refund_request","high","rule: explicit refund","auto-cascade-v1","2026-09-13T13:20:43+00:00","rule","refund_request","rule","y","",""
"59200","#really https://t.co/ICrWwBRkY6","other","0.048","natural","other","low","weak TF-IDF match; falls outside defined intents","auto-cascade-v1","2026-09-13T13:20:43+00:00","tfidf-low","other","tfidf-low","y","",""
"69045","@GWRHelp the conductor on the 9:23 from Exmouth has an utterly disgusting attitude and has just humiliated me on a packed train #Ableism","other","0.097","natural","on_board_issue","high","rule: onboard condition","auto-cascade-v1","2026-09-13T13:20:43+00:00","rule","other","rule","y","",""
"97502","I think it's about time train companies take a more human approach when dealing with passengers regarding losing part of their train ticket @123241 @GWRHelp @121428","timetable_info","0.207","natural","other","low","top-2 intents equally close (see sims)","auto-cascade-v1","2026-09-13T13:20:43+00:00","tfidf-ambig","timetable_info","tfidf-ambig","y","y","other"
"103896","Frustrated to have missed my train, but silver lining is I get to ride the new @5960 train to Swindon. Sweet! @GWRHelp","delay_compensation","0.169","natural","delay_compensation","medium","tfidf moderate match","auto-cascade-v1","2026-09-13T13:20:43+00:00","tfidf-med","delay_compensation","tfidf-med","y","",""
"111684","@GWRHelp why is the 19.05 PAD-HOT delayed?","other","0.084","natural","delay_compensation","low","weak TF-IDF match; falls outside defined intents","auto-cascade-v1","2026-09-13T13:20:43+00:00","tfidf-low","other","tfidf-low","y","y","delay_compensation"
"111708","Great Western Railway must really want a Corbyn government 🌹 @GWRHelp #ToriesOut","other","0.079","natural","other","low","weak TF-IDF match; falls outside defined intents","auto-cascade-v1","2026-09-13T13:20:43+00:00","tfidf-low","other","tfidf-low","y","",""
"119084","@GWRHelp why so many cancellations and delays this week?","other","0.074","natural","service_disruption","low","weak TF-IDF match; falls outside defined intents","auto-cascade-v1","2026-09-13T13:20:43+00:00","tfidf-low","other","tfidf-low","y","y","service_disruption"
"121436","@GWRHelp the 22.21 Paddington to Bedwyn is showing as delayed boarding 7 mins late. Please can you request that Maidenhead hold the connection to Marlow to allow people like me to get home on this cold evening. Thank you","delay_compensation","0.104","natural","delay_compensation","high","rule: praise","auto-cascade-v1","2026-09-13T13:20:43+00:00","rule","delay_compensation","rule","y","y","delay_compensation"
"123664","@GWRHelp any idea when the train we are on will get in to Bristol parkway? It's the 22.45 Paddington to Swansea https://t.co/aVUuFxffoH","lost_property","0.146","natural","timetable_info","medium","tfidf moderate match","auto-cascade-v1","2026-09-13T13:20:43+00:00","tfidf-med","lost_property","tfidf-med","y","y","timetable_info"
"131440","@GWRHelp yet again I need to find an alternative, more expensive, way to get to work as I will miss my connecting train.  When will the 07:12 from Crowthorne actually be the 07:12?","timetable_info","0.121","targeted:timetable_info","delay_compensation","medium","tfidf moderate match","auto-cascade-v1","2026-09-13T13:20:43+00:00","tfidf-med","timetable_info","tfidf-med","y","y","delay_compensation"
"132085","@GWRHelp Can someone please convey to the driver of the 17.18 to Hayes and Harlington from Paddington yesterday that he's an idiot for 3 times trying to close the doors in carriage 6 when at least 10 people were still trying to get off at West Ealing","booking_issue","0.116","natural","on_board_issue","low","top-2 intents equally close (see sims)","auto-cascade-v1","2026-09-13T13:20:43+00:00","tfidf-ambig","booking_issue","tfidf-ambig","y","y","on_board_issue"
